country_code,date,holiday_name
GB,1891-12-25,Christmas Day
IE,1891-12-25,Christmas Day
IM,1891-12-25,Christmas Day
NL,1891-12-25,Christmas Day
PT,1891-12-25,Christmas Day
US,1891-12-25,Christmas Day
VE,1891-12-25,Christmas Day
AU,1891-12-26,Boxing Day
FI,1891-12-26,Second Day of Christmas
GB,1891-12-26,Boxing Day
IE,1891-12-26,Saint Stephen's Day
IM,1891-12-26,Boxing Day
NL,1891-12-26,Second Day of Christmas
GB,1891-12-28,Boxing Day (observed)
IM,1891-12-28,Boxing Day (observed)
VE,1891-12-31,New Year's Eve
AU,1892-01-01,New Year's Day
BO,1892-01-01,New Year's Day
BR,1892-01-01,Universal Fraternization Day
CA,1892-01-01,New Year's Day
CH,1892-01-01,New Year's Day
FI,1892-01-01,New Year's Day
FR,1892-01-01,New Year's Day
NL,1892-01-01,New Year's Day
PT,1892-01-01,New Year's Day
US,1892-01-01,New Year's Day
VE,1892-01-01,New Year's Day
FI,1892-01-06,Epiphany
US,1892-02-22,Washington's Birthday
BR,1892-02-24,Republic Constitution Day
BO,1892-02-29,Carnival
VE,1892-02-29,Monday of Carnival
BO,1892-03-01,Carnival
VE,1892-03-01,Tuesday of Carnival
VE,1892-04-14,Maundy Thursday
AU,1892-04-15,Good Friday
BO,1892-04-15,Good Friday
BR,1892-04-15,Good Friday
CA,1892-04-15,Good Friday
FI,1892-04-15,Good Friday
GB,1892-04-15,Good Friday
IM,1892-04-15,Good Friday
PT,1892-04-15,Good Friday
VE,1892-04-15,Good Friday
FI,1892-04-17,Easter Sunday
NL,1892-04-17,Easter Sunday
PT,1892-04-17,Easter Sunday
AU,1892-04-18,Easter Monday
FI,1892-04-18,Easter Monday
FR,1892-04-18,Easter Monday
IE,1892-04-18,Easter Monday
IM,1892-04-18,Easter Monday
NL,1892-04-18,Easter Monday
VE,1892-04-19,Declaration of Independence
BR,1892-04-21,Tiradentes' Day
BO,1892-05-01,Labor Day
FI,1892-05-01,May Day
BR,1892-05-03,Discovery of Brazil
BR,1892-05-13,Abolition of slavery in Brazil
CH,1892-05-26,Ascension Day
FI,1892-05-26,Ascension Day
FR,1892-05-26,Ascension Day
NL,1892-05-26,Ascension Day
US,1892-05-30,Memorial Day
IM,1892-06-03,TT Bank Holiday
FI,1892-06-05,Whit Sunday
